# [category_name],[id],[device],[focal_plane],[detector],[geometry],[channel]
cat,id,dev,fp,det,geo,ch

# FE9-1 Anode
"src2y",53,  11,12,31,3,70
"src2y",54,  11,12,31,3,69
"src2y",55,  11,12,31,3,68
"src2y",56,  11,12,31,3,83
"src2y",57,  11,12,31,3,82

# S0 Anode
"sr0a",  0,  11,20,31,0,1

# S0 X
"sr0x",  0,  11,20,31,0,63
"sr0x",  1,  11,20,31,0,62
"sr0x",  2,  11,20,31,0,61
"sr0x",  3,  11,20,31,0,60
"sr0x",  4,  11,20,31,0,47
"sr0x",  5,  11,20,31,0,46
"sr0x",  6,  11,20,31,0,45
"sr0x",  7,  11,20,31,0,44
"sr0x",  8,  11,20,31,0,59
"sr0x",  9,  11,20,31,0,58
"sr0x", 10,  11,20,31,0,57
"sr0x", 11,  11,20,31,0,56
"sr0x", 12,  11,20,31,0,43
"sr0x", 13,  11,20,31,0,42
"sr0x", 14,  11,20,31,0,41
"sr0x", 15,  11,20,31,0,40
"sr0x", 16,  11,20,31,0,55
"sr0x", 17,  11,20,31,0,54
"sr0x", 18,  11,20,31,0,53
"sr0x", 19,  11,20,31,0,52
"sr0x", 20,  11,20,31,0,39
"sr0x", 21,  11,20,31,0,38
"sr0x", 22,  11,20,31,0,37
"sr0x", 23,  11,20,31,0,36
"sr0x", 24,  11,20,31,0,51
"sr0x", 25,  11,20,31,0,50
"sr0x", 26,  11,20,31,0,49
"sr0x", 27,  11,20,31,0,48
"sr0x", 28,  11,20,31,0,35
"sr0x", 29,  11,20,31,0,34
"sr0x", 30,  11,20,31,0,33
"sr0x", 31,  11,20,31,0,32
"sr0x", 32,  11,20,31,0,95
"sr0x", 33,  11,20,31,0,94
"sr0x", 34,  11,20,31,0,93
"sr0x", 35,  11,20,31,0,92
"sr0x", 36,  11,20,31,0,79
"sr0x", 37,  11,20,31,0,78
"sr0x", 38,  11,20,31,0,77
"sr0x", 39,  11,20,31,0,76
"sr0x", 40,  11,20,31,0,91
"sr0x", 41,  11,20,31,0,90
"sr0x", 42,  11,20,31,0,89
"sr0x", 43,  11,20,31,0,88
"sr0x", 44,  11,20,31,0,75
"sr0x", 45,  11,20,31,0,74
"sr0x", 46,  11,20,31,0,73
"sr0x", 47,  11,20,31,0,72
"sr0x", 48,  11,20,31,0,87
"sr0x", 49,  11,20,31,0,86
"sr0x", 50,  11,20,31,0,85
"sr0x", 51,  11,20,31,0,84
"sr0x", 52,  11,20,31,0,71
"sr0x", 53,  11,20,31,0,70
"sr0x", 54,  11,20,31,0,69
"sr0x", 55,  11,20,31,0,68
"sr0x", 56,  11,20,31,0,83
"sr0x", 57,  11,20,31,0,82
"sr0x", 58,  11,20,31,0,81
"sr0x", 59,  11,20,31,0,80
"sr0x", 60,  11,20,31,0,67
"sr0x", 61,  11,20,31,0,66
"sr0x", 62,  11,20,31,0,65
"sr0x", 63,  11,20,31,0,64
"sr0x", 64,  11,20,31,0,127
"sr0x", 65,  11,20,31,0,126
"sr0x", 66,  11,20,31,0,125
"sr0x", 67,  11,20,31,0,124
"sr0x", 68,  11,20,31,0,111
"sr0x", 69,  11,20,31,0,110
"sr0x", 70,  11,20,31,0,109
"sr0x", 71,  11,20,31,0,108
"sr0x", 72,  11,20,31,0,123
"sr0x", 73,  11,20,31,0,122
"sr0x", 74,  11,20,31,0,121
"sr0x", 75,  11,20,31,0,120
"sr0x", 76,  11,20,31,0,107
"sr0x", 77,  11,20,31,0,106
"sr0x", 78,  11,20,31,0,105
"sr0x", 79,  11,20,31,0,104
"sr0x", 80,  11,20,31,0,119
"sr0x", 81,  11,20,31,0,118
"sr0x", 82,  11,20,31,0,117
"sr0x", 83,  11,20,31,0,116
"sr0x", 84,  11,20,31,0,103
"sr0x", 85,  11,20,31,0,102
"sr0x", 86,  11,20,31,0,101
"sr0x", 87,  11,20,31,0,100
"sr0x", 88,  11,20,31,0,115
"sr0x", 89,  11,20,31,0,114
"sr0x", 90,  11,20,31,0,113
"sr0x", 91,  11,20,31,0,112
"sr0x", 92,  11,20,31,0,99
"sr0x", 93,  11,20,31,0,98

# S0 Y
"sr0y",  0,  11,20,31,1,63
"sr0y",  1,  11,20,31,1,62
"sr0y",  2,  11,20,31,1,61
"sr0y",  3,  11,20,31,1,60
"sr0y",  4,  11,20,31,1,47
"sr0y",  5,  11,20,31,1,46
"sr0y",  6,  11,20,31,1,45
"sr0y",  7,  11,20,31,1,44
"sr0y",  8,  11,20,31,1,59
"sr0y",  9,  11,20,31,1,58
"sr0y", 10,  11,20,31,1,57
